1,Goose Island,GooseIsland.png,255|128|77|19,255|0|255|255
2,American Barley,AmericanBarley.png,255|228|13|13,255|240|226|185
3,Amstel Light,AmstelLight.png,255|255|228|196,255|255|0|0
4,Bud Light Lime,BudLightLime.png,255|154|205|50,255|236|251|226
5,Smirnoff,Smirnoff.png,255|230|49|129,255|255|228|196
6,Mike's,Mikes.png,255|0|0|0,255|218|165|32
7,Corona Light,CoronaLight.png,255|255|215|0,255|0|0|139
