1,D:\Side Projects\BottleCapCollection\BeerCapLoggerWPFProject\BeerCapImages\RedAppleAleBlue.png,Red Apple Ale Blue,4,255|0|0|255,255|0|0|255,12/26/2020,This or That?
2,D:\Side Projects\BottleCapCollection\BeerCapLoggerWPFProject\BeerCapImages\Banquet.png,Banquet,2,255|0|128|128,255|255|250|250,12/5/2020,[None]
